category,total_satellites
Amateur radio,395
Beidou Navigation System,54
Brightest,49
Celestis,1
CubeSats,176
Disaster monitoring,28
Earth resources,149
Education,20
Engineering,61
Experimental,158
Flock,259
GOES,17
Galileo,26
Geodetic,49
Geostationary,973
Global Positioning System (GPS) Constellation,73
Global Positioning System (GPS) Operational,31
Globalstar,84
Glonass Constellation,134
Glonass Operational,27
Gonets,21
Gorizont,33
IRNSS,8
ISS,16
Intelsat,88
Iridium,106
Lemur,105
Military,577
Molniya,36
NOAA,23
Navy Navigation Satellite System,37
O3B Networks,20
OneWeb,68
Orbcomm,61
Parus,95
QZSS,4
Radar Calibration,25
Raduga,44
Russian LEO Navigation,15
Satellite-Based Augmentation System,14
Search & rescue,16
Space & Earth Science,542
Starlink,825
Strela,565
TV,409
Tracking and Data Relay Satellite System,23
Tselina,62
Tsikada,24
Tsiklon,28
Weather,103
Westford Needles,45
XM and Sirius,10
Yaogan,47
